id,name,ip,lat,lng,group,deviceStatus,heading,fov,range,model,os,installedOn
ap-001,Site Alpha Gateway,10.10.1.1,32.7940,34.9896,North,online,,,,GW-4200,CoreOS 3.2,2024-02-11
ap-002,North Relay 02,10.10.1.2,32.8180,35.0300,North,online,45,90,600,RTR-880,CoreOS 3.1,2024-03-02
ap-003,North Sensor 03,10.10.1.3,32.9020,35.0710,North,degraded,,,,SNS-120,EdgeLite 1.4,2023-11-20
ap-004,Harbor Node 04,10.10.1.4,32.8320,34.9550,North,online,,,,PC-Std,DeskOS 22,2024-01-15
ap-005,North Router 05,10.10.1.5,32.9600,35.1400,North,online,315,120,900,RTR-880,CoreOS 3.2,2024-04-09
ap-006,Central Gateway,10.10.2.1,32.0853,34.7818,Central,online,,,,GW-4200,CoreOS 3.2,2023-09-30
ap-007,Central Relay 07,10.10.2.2,32.1100,34.8300,Central,offline,90,60,500,RTR-560,CoreOS 3.0,2023-08-14
ap-008,Central Sensor 08,10.10.2.3,32.0500,34.8600,Central,online,,,,SNS-120,EdgeLite 1.4,2024-02-28
ap-009,Metro Node 09,10.10.2.4,32.0250,34.7500,Central,online,,,,PC-Std,DeskOS 22,2024-05-01
ap-010,Central Router 10,10.10.2.5,31.9900,34.9000,Central,degraded,180,90,750,RTR-880,CoreOS 3.1,2023-12-05
ap-011,East Gateway,10.10.3.1,31.8900,35.2000,East,online,,,,GW-4200,CoreOS 3.2,2024-01-22
ap-012,East Relay 12,10.10.3.2,31.9200,35.2500,East,online,270,90,650,RTR-560,CoreOS 3.1,2024-03-18
ap-013,East Sensor 13,10.10.3.3,31.8600,35.2900,East,online,,,,SNS-120,EdgeLite 1.5,2024-04-30
ap-014,Ridge Node 14,10.10.3.4,31.9500,35.3300,East,offline,,,,PC-Std,DeskOS 21,2023-07-11
ap-015,East Router 15,10.10.3.5,31.8100,35.2200,East,online,135,110,820,RTR-880,CoreOS 3.2,2024-06-02
ap-016,South Gateway,10.10.4.1,31.2530,34.7915,South,online,,,,GW-4200,CoreOS 3.2,2023-10-19
ap-017,South Relay 17,10.10.4.2,31.3000,34.8400,South,degraded,60,75,540,RTR-560,CoreOS 3.0,2023-06-25
ap-018,South Sensor 18,10.10.4.3,31.2000,34.7000,South,online,,,,SNS-120,EdgeLite 1.4,2024-02-14
ap-019,Desert Node 19,10.10.4.4,31.1200,34.8800,South,online,,,,PC-Std,DeskOS 22,2024-05-20
ap-020,South Router 20,10.10.4.5,31.0500,34.8500,South,online,225,120,1000,RTR-880,CoreOS 3.2,2024-06-15
ap-021,West Gateway,10.10.5.1,32.1660,34.8050,West,online,,,,GW-4200,CoreOS 3.1,2023-11-02
ap-022,West Relay 22,10.10.5.2,32.2000,34.8200,West,online,0,90,600,RTR-560,CoreOS 3.1,2024-03-27
ap-023,West Sensor 23,10.10.5.3,32.1400,34.7700,West,offline,,,,SNS-120,EdgeLite 1.5,2024-04-08
ap-024,Coast Node 24,10.10.5.4,32.2400,34.8500,West,online,,,,PC-Std,DeskOS 22,2024-05-11
ap-025,West Router 25,10.10.5.5,32.2800,34.8800,West,degraded,300,100,700,RTR-880,CoreOS 3.2,2024-01-30
ap-026,Highland Gateway,10.10.6.1,32.6100,35.2900,North,online,,,,GW-4200,CoreOS 3.2,2023-12-18
ap-027,Highland Relay 27,10.10.6.2,32.6600,35.3300,North,online,150,80,580,RTR-560,CoreOS 3.1,2024-02-06
ap-028,Valley Node 28,10.10.6.3,32.5500,35.2500,Central,online,,,,PC-Std,DeskOS 22,2024-04-19
ap-029,Valley Sensor 29,10.10.6.4,32.5000,35.3000,Central,online,,,,SNS-120,EdgeLite 1.5,2024-05-28
ap-030,Border Router 30,10.10.6.5,32.7000,35.4000,East,online,75,95,880,RTR-880,CoreOS 3.2,2024-06-21
